model,sim1,sim2,sim3,grooving,SI1-2,SI2-4,SI4-6,SI6-8,SI_18-,SI_2-9,SI_9-18
30n,0.9576525559433074,0.9105365987304089,0.7444085833749928,0.42615076947022695,0.3393,0.2231,0.1152,0.0207,,,
32n,0.7971644304307779,0.7113897432193542,0.5604518011242805,0.5945679864907892,0.3406,0.2164,0.097,0.0083,,,
340.7,0.9496946724734134,0.9164947311362802,0.8036034606259338,0.4598525504895077,,,,,,,
340.8,0.95529209174539,0.9237891304411407,0.8255224381852865,0.6184514013406498,,,,,,,
340.9,0.9664980061726794,0.9437883928487263,0.8526287487383947,0.6209501641858293,,,,,,,
341.0,0.950208931979317,0.9321842503718464,0.847183882224509,0.6135055485742849,,,,,,,
341.2,0.9644387323481889,0.9394513460059258,0.8409335010099261,0.5981376681788418,,,,,,,
34n,0.9449668850439128,0.9250569416460735,0.8362610008015536,0.5785650405005226,0.3257,0.2054,0.1033,0.0146,,,
4-30n,0.9942533581393936,0.9721880973084962,0.9089593834660233,0.6665415225616407,,,,,0.0018,0.3252,0.0863
4-32n,0.9809513287686153,0.9561579697676426,0.8949104952077613,0.6726350025964647,,,,,,,
4-34n,0.9872346578719949,0.9602450171703414,0.8891590897298072,0.7259047216703436,,,,,,,
4-a42,0.9985383813560142,0.98867211443789,0.9376957927955626,,,,,,,,
4-b28,0.998074266239551,0.9877984759983923,0.9384096888263466,,,,,,,,
4-c24,0.9985544229306332,0.9882282242938298,0.9249230411783258,,,,,,,,
a42,0.9959083057529575,0.9758555975738001,0.9051139383577029,0.5651588612090208,,,,,,,
b28,0.9970911947739258,0.9815141898110188,0.914076918834082,0.5646434488838827,,,,,,,
c24,0.9974996188659966,0.9809832804449601,0.9107233738397023,0.5560973320228138,,,,,,,
test,0.9999999999999997,1.0000000000000058,0.9999999999999963,0.6039552896851031,0.334,0.2614,0.2017,0.0714,,,
,,,,,,,,,,,
best,4-c24,4-a42,4-b28,341.2,30n,30n,30n,30n,,,
